proud_world_heritage,asset,identity,quality_of_life,aesthetic,love_live_beside,NRM
5,5,5,5,5,5,Burdekin
,,2,8,10,10,Burdekin
8,9,10,8,8,10,Burdekin
10,10,7,10,10,10,Burdekin
10,10,1,2,10,10,Burdekin
10,10,5,5,10,1,Burdekin
10,10,1,5,10,,Burdekin
10,10,10,10,10,10,Burdekin
10,6,5,10,6,10,Burdekin
10,10,1,10,10,8,Burdekin
10,10,10,10,10,10,Burdekin
9,9,8,8,9,7,Burdekin
10,10,10,6,10,9,Burdekin
10,10,10,10,10,8,Burdekin
10,10,10,10,10,10,Burdekin
8,8,10,10,8,7,Burdekin
10,10,10,10,10,6,Burdekin
2,8,1,1,1,4,Burdekin
5,10,6,8,6,10,Burdekin
10,10,7,6,8,9,Burdekin
9,9,5,6,8,6,Burdekin
10,10,1,10,,10,Burdekin
6,7,2,2,6,7,Burdekin
9,10,5,9,9,10,Burdekin
10,10,2,6,10,10,Burdekin
10,10,7,10,8,10,Burdekin
9,9,4,8,10,10,Burdekin
9,9,6,8,9,8,Burdekin
7,10,10,10,10,6,Burdekin
6,8,3,8,7,8,Burdekin
10,9,1,7,10,10,Burdekin
10,10,10,10,7,10,Burdekin
10,10,6,8,10,10,Burdekin
6,6,1,2,7,5,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,7,5,8,8,9,Burdekin
10,10,10,10,10,10,Burdekin
10,10,8,10,8,10,Burdekin
10,10,4,4,10,10,Burdekin
10,10,5,10,10,10,Burdekin
10,10,3,8,10,10,Burdekin
10,10,2,3,10,10,Burdekin
9,9,6,3,7,5,Burdekin
10,10,5,10,10,10,Burdekin
10,10,5,8,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,5,5,8,9,Burdekin
8,8,7,6,9,10,Burdekin
10,10,6,8,8,7,Burdekin
8,8,2,2,6,7,Burdekin
9,9,6,6,6,9,Burdekin
8,8,8,8,8,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
,,,,,,Burdekin
7,8,5,6,9,8,Burdekin
10,10,3,8,6,8,Burdekin
9,10,7,8,10,9,Burdekin
10,10,10,10,10,10,Burdekin
10,10,1,10,8,10,Burdekin
10,10,10,10,9,10,Burdekin
10,8,6,10,10,10,Burdekin
10,8,5,6,9,8,Burdekin
10,10,7,8,10,10,Burdekin
10,10,8,8,10,10,Burdekin
7,7,7,7,7,10,Burdekin
10,10,4,3,10,6,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
8,8,6,6,9,6,Burdekin
10,10,5,10,10,10,Burdekin
10,10,10,8,10,8,Burdekin
8,8,3,6,9,10,Burdekin
9,9,4,8,10,10,Burdekin
10,10,3,10,10,10,Burdekin
10,5,1,5,10,7,Burdekin
10,10,6,6,9,6,Burdekin
8,8,5,5,8,6,Burdekin
10,10,6,6,10,10,Burdekin
9,9,7,8,9,9,Burdekin
9,9,6,6,9,10,Burdekin
8,8,5,7,10,5,Burdekin
8,8,6,6,8,8,Burdekin
10,10,6,10,10,10,Burdekin
10,10,1,5,10,10,Burdekin
10,10,7,10,10,7,Burdekin
10,10,5,7,8,5,Burdekin
10,10,5,8,10,10,Burdekin
10,10,5,10,8,8,Burdekin
10,10,7,10,10,8,Burdekin
10,10,7,8,,10,Burdekin
10,10,10,10,10,10,Burdekin
6,6,2,4,8,7,Burdekin
10,10,10,10,10,2,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,5,10,Burdekin
10,10,6,7,10,10,Burdekin
9,9,9,9,9,8,Burdekin
10,10,6,7,6,10,Burdekin
10,10,5,5,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,6,6,10,10,Burdekin
10,10,1,1,5,10,Burdekin
10,10,8,10,10,10,Burdekin
10,10,1,7,10,10,Burdekin
10,10,9,10,10,9,Burdekin
10,10,9,7,10,10,Burdekin
9,9,7,7,9,9,Burdekin
9,9,5,5,7,8,Burdekin
8,9,7,9,9,9,Burdekin
10,10,10,10,10,10,Burdekin
7,7,9,8,10,9,Burdekin
6,6,3,4,7,5,Burdekin
6,8,1,1,4,7,Burdekin
6,8,10,10,10,10,Burdekin
10,10,3,4,10,8,Burdekin
3,6,6,10,10,10,Burdekin
10,7,10,10,10,9,Burdekin
10,10,1,6,10,10,Burdekin
7,7,2,3,7,5,Burdekin
10,10,10,10,10,10,Burdekin
10,10,8,8,10,10,Burdekin
10,10,4,4,10,8,Burdekin
9,8,5,6,10,8,Burdekin
10,10,5,5,10,10,Burdekin
10,10,10,10,10,,Burdekin
10,9,8,8,10,9,Burdekin
10,10,10,7,10,10,Burdekin
7,9,10,10,10,10,Burdekin
10,10,8,10,10,10,Burdekin
10,10,10,7,5,10,Burdekin
10,7,8,6,9,10,Burdekin
8,8,8,9,9,9,Burdekin
10,10,10,10,10,10,Burdekin
9,10,8,9,10,10,Burdekin
10,10,10,10,10,9,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
7,7,6,6,6,6,Burdekin
10,10,10,10,10,10,Burdekin
10,10,8,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,6,7,10,6,Burdekin
10,10,10,8,10,10,Burdekin
9,10,8,8,9,9,Burdekin
10,10,10,10,10,10,Burdekin
10,10,1,7,10,7,Burdekin
10,9,6,8,7,9,Burdekin
10,10,7,8,10,10,Burdekin
9,9,6,9,10,9,Burdekin
10,10,10,10,10,10,Burdekin
6,8,5,5,4,10,Burdekin
10,10,9,8,10,9,Burdekin
10,8,8,7,10,6,Burdekin
10,10,5,8,10,10,Burdekin
10,10,5,8,10,9,Burdekin
8,9,5,5,10,7,Burdekin
10,10,5,5,10,8,Burdekin
10,10,8,7,9,10,Burdekin
4,4,2,4,4,10,Burdekin
10,10,10,10,10,10,Burdekin
10,9,9,9,10,9,Burdekin
10,10,5,5,10,10,Burdekin
10,8,5,5,10,10,Burdekin
10,10,3,10,10,10,Burdekin
8,8,5,8,8,8,Burdekin
10,10,4,4,10,10,Burdekin
10,9,5,4,10,9,Burdekin
6,9,5,9,9,8,Burdekin
10,10,7,10,10,10,Burdekin
10,7,6,7,10,7,Burdekin
10,10,3,8,10,10,Burdekin
10,10,8,9,10,10,Burdekin
10,10,7,9,9,10,Burdekin
10,10,8,6,8,7,Burdekin
10,10,4,1,10,10,Burdekin
10,10,7,5,9,9,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,8,10,Burdekin
10,10,10,8,10,10,Burdekin
10,10,7,9,9,10,Burdekin
10,10,8,9,9,10,Burdekin
10,10,10,10,8,6,Burdekin
10,10,7,7,10,7,Burdekin
10,10,6,8,9,10,Burdekin
8,8,3,1,7,7,Burdekin
7,9,3,7,7,4,Burdekin
10,8,7,9,10,8,Burdekin
10,10,5,5,10,8,Burdekin
10,10,8,9,10,10,Burdekin
10,10,6,7,10,9,Burdekin
10,10,10,10,10,10,Burdekin
9,8,5,5,9,10,Burdekin
8,8,6,6,5,6,Burdekin
10,10,7,9,10,10,Burdekin
10,10,5,10,9,10,Burdekin
10,9,8,8,10,9,Burdekin
6,4,4,4,7,10,Burdekin
8,9,5,8,10,10,Burdekin
6,8,6,7,8,9,Burdekin
10,10,6,7,10,10,Burdekin
10,10,8,10,10,9,Burdekin
10,10,1,10,10,10,Burdekin
10,10,6,8,10,10,Burdekin
10,10,5,10,10,10,Burdekin
8,6,6,6,8,7,Burdekin
5,9,1,1,6,2,Burdekin
10,10,3,2,6,9,Burdekin
10,10,6,8,10,10,Burdekin
10,5,1,10,10,10,Burdekin
10,10,10,5,10,10,Burdekin
10,10,10,10,10,10,Burdekin
9,9,5,5,9,8,Burdekin
10,10,10,10,10,10,Burdekin
10,10,7,10,10,10,Burdekin
10,10,7,5,8,9,Burdekin
3,7,1,2,6,6,Burdekin
10,10,4,8,10,10,Burdekin
6,8,2,2,7,7,Burdekin
10,1,1,1,10,7,Burdekin
7,7,1,5,7,7,Burdekin
10,10,7,6,6,8,Burdekin
10,10,10,10,10,10,Burdekin
10,10,3,7,10,3,Burdekin
10,10,5,5,10,10,Burdekin
10,4,2,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,1,7,5,8,Burdekin
9,9,10,10,7,10,Burdekin
10,9,8,8,8,10,Burdekin
10,10,5,10,10,10,Burdekin
9,9,9,7,6,8,Burdekin
6,10,1,10,10,10,Burdekin
,10,6,9,8,10,Burdekin
10,9,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
4,9,5,9,9,10,Burdekin
10,10,10,10,10,10,Burdekin
8,8,8,8,10,6,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
1,8,1,1,1,1,Burdekin
10,10,7,7,10,10,Burdekin
10,8,4,7,8,7,Burdekin
10,10,4,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
8,10,10,10,10,10,Burdekin
10,10,5,10,10,10,Burdekin
10,9,5,6,8,6,Burdekin
10,10,10,10,10,10,Burdekin
1,10,5,10,9,10,Burdekin
1,10,6,10,5,4,Burdekin
10,10,8,10,8,8,Burdekin
10,10,8,9,10,9,Burdekin
10,10,10,10,,9,Burdekin
10,10,1,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,6,6,8,8,Burdekin
10,10,10,10,10,10,Burdekin
9,10,7,8,9,8,Burdekin
10,10,7,7,10,10,Burdekin
9,9,8,9,8,9,Burdekin
10,10,7,10,10,10,Burdekin
8,9,9,9,9,10,Burdekin
10,10,7,10,10,10,Burdekin
10,10,8,8,10,8,Burdekin
10,10,8,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,5,5,10,6,Burdekin
10,10,10,10,10,6,Burdekin
10,8,1,9,10,10,Burdekin
10,10,7,7,10,,Burdekin
6,7,3,3,6,5,Burdekin
9,10,6,7,9,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,5,10,,5,Burdekin
10,10,10,10,10,10,Burdekin
9,9,1,10,8,9,Burdekin
10,10,6,8,8,10,Burdekin
10,10,10,6,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,1,3,6,9,10,Burdekin
10,10,4,5,10,10,Burdekin
10,10,10,6,10,10,Burdekin
10,10,1,8,10,9,Burdekin
10,10,10,10,10,10,Burdekin
10,10,8,10,9,10,Burdekin
10,10,10,10,10,10,Burdekin
7,10,7,10,8,10,Burdekin
10,9,10,10,9,10,Burdekin
10,10,7,10,10,10,Burdekin
10,10,9,9,10,10,Burdekin
10,10,8,8,10,8,Burdekin
10,10,4,5,10,10,Burdekin
10,8,4,7,8,7,Burdekin
8,8,6,6,8,9,Burdekin
8,10,5,10,7,10,Burdekin
10,10,6,7,10,10,Burdekin
10,10,8,8,9,8,Burdekin
10,10,6,8,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,8,8,7,9,Burdekin
5,10,7,7,6,10,Burdekin
9,9,6,6,8,8,Burdekin
10,10,7,10,10,10,Burdekin
10,10,4,6,3,10,Burdekin
10,10,1,5,8,10,Burdekin
8,8,5,8,8,10,Burdekin
10,8,7,8,10,10,Burdekin
8,5,3,3,7,5,Burdekin
10,10,10,10,10,10,Burdekin
8,8,8,6,6,9,Burdekin
10,10,5,10,10,10,Burdekin
10,10,4,5,10,8,Burdekin
10,10,10,10,10,10,Burdekin
4,9,5,8,10,10,Burdekin
9,9,10,7,7,10,Burdekin
10,10,8,5,10,10,Burdekin
9,7,6,6,6,8,Burdekin
10,10,6,6,8,8,Burdekin
10,7,5,5,10,6,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
8,7,6,5,8,5,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,7,8,10,9,Burdekin
5,7,3,5,8,8,Burdekin
8,10,6,6,8,9,Burdekin
10,10,5,8,10,6,Burdekin
10,10,7,10,10,10,Burdekin
10,10,8,3,9,9,Burdekin
10,10,6,6,10,7,Burdekin
10,9,8,10,9,10,Burdekin
10,10,7,7,10,9,Burdekin
10,10,10,10,10,10,Burdekin
9,9,6,6,8,6,Burdekin
10,10,9,9,9,10,Burdekin
9,10,7,7,7,9,Burdekin
10,10,6,10,10,10,Burdekin
10,10,6,8,8,10,Burdekin
9,10,6,6,8,10,Burdekin
8,9,7,8,9,10,Burdekin
9,8,8,8,9,10,Burdekin
10,10,10,10,10,10,Burdekin
7,7,1,2,8,5,Burdekin
9,10,10,10,10,10,Burdekin
10,10,6,6,10,10,Burdekin
10,10,8,6,10,10,Burdekin
10,8,3,6,8,10,Burdekin
9,2,,,8,6,Burdekin
9,9,5,6,9,9,Burdekin
10,10,1,7,10,8,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,8,8,10,9,Burdekin
10,10,8,8,10,10,Burdekin
7,7,3,3,5,5,Burdekin
10,10,10,10,9,9,Burdekin
9,6,6,6,9,10,Burdekin
8,7,5,5,10,10,Burdekin
10,10,6,6,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,8,8,10,10,Burdekin
10,8,7,10,10,10,Burdekin
8,9,8,9,9,9,Burdekin
10,10,10,10,10,10,Burdekin
6,7,4,8,6,6,Burdekin
6,6,4,6,6,5,Burdekin
10,10,10,10,10,10,Burdekin
6,8,3,3,7,7,Burdekin
10,10,9,10,10,10,Burdekin
10,10,6,10,10,10,Burdekin
9,8,6,7,8,7,Burdekin
10,10,6,10,10,9,Burdekin
10,10,5,8,10,10,Burdekin
5,8,2,2,6,7,Burdekin
10,10,9,9,10,9,Burdekin
5,5,5,5,5,10,Burdekin
3,8,1,1,7,5,Burdekin
10,10,2,3,5,5,Burdekin
9,10,6,8,8,8,Burdekin
10,10,5,5,9,10,Burdekin
10,10,5,9,9,6,Burdekin
10,10,8,8,9,5,Burdekin
10,10,10,10,10,10,Burdekin
10,10,6,10,10,7,Burdekin
7,7,1,6,5,8,Burdekin
,,,,,,Burdekin
10,10,6,5,5,10,Burdekin
10,10,6,6,10,10,Burdekin
10,10,6,7,10,10,Burdekin
10,10,5,8,10,8,Burdekin
10,10,8,10,10,9,Burdekin
10,10,7,7,8,10,Burdekin
10,10,5,6,10,8,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
9,9,7,7,10,7,Burdekin
10,10,6,6,10,10,Burdekin
10,10,1,6,10,7,Burdekin
10,10,10,10,10,10,Burdekin
8,9,6,7,9,7,Burdekin
8,10,5,4,9,9,Burdekin
8,9,4,4,9,9,Burdekin
10,10,7,9,6,7,Burdekin
8,9,3,6,9,6,Burdekin
10,10,5,4,10,10,Burdekin
10,10,8,7,9,9,Burdekin
9,9,9,8,9,8,Burdekin
10,10,7,10,10,10,Burdekin
8,8,1,6,8,3,Burdekin
10,10,9,8,6,7,Burdekin
10,10,7,8,8,10,Burdekin
10,10,1,10,10,10,Burdekin
10,10,5,6,10,9,Burdekin
10,10,8,4,10,9,Burdekin
10,10,7,7,10,10,Burdekin
10,8,7,10,10,10,Burdekin
10,10,1,1,6,6,Burdekin
10,10,10,10,10,5,Burdekin
10,10,10,10,10,10,Burdekin
9,10,8,9,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,6,6,9,10,Burdekin
10,10,7,7,9,9,Burdekin
10,9,4,5,8,10,Burdekin
8,9,7,7,7,10,Burdekin
10,10,1,6,10,5,Burdekin
10,10,8,8,10,,Burdekin
9,10,9,10,9,6,Burdekin
10,10,7,8,10,8,Burdekin
10,10,4,6,10,10,Burdekin
10,10,9,10,9,10,Burdekin
10,10,8,10,10,10,Burdekin
8,9,5,9,8,10,Burdekin
10,10,10,10,10,10,Burdekin
3,10,5,8,8,6,Burdekin
6,8,6,6,6,6,Burdekin
8,10,6,9,7,10,Burdekin
7,8,4,6,6,7,Burdekin
10,10,6,10,8,10,Burdekin
6,7,1,5,5,4,Burdekin
10,10,1,3,7,9,Burdekin
10,10,5,10,10,10,Burdekin
10,10,8,8,10,10,Burdekin
9,10,9,7,8,10,Burdekin
3,6,1,1,6,5,Burdekin
1,10,6,6,10,10,Burdekin
8,9,8,9,10,10,Burdekin
10,10,3,1,9,10,Burdekin
10,10,10,10,10,10,Burdekin
10,9,10,10,10,10,Burdekin
10,9,7,8,4,10,Burdekin
7,7,5,5,9,7,Burdekin
5,4,1,1,6,4,Burdekin
10,10,5,1,10,10,Burdekin
5,5,5,5,5,5,Burdekin
10,9,6,6,7,10,Burdekin
10,9,9,9,10,10,Burdekin
10,10,5,5,6,6,Burdekin
10,10,10,10,10,10,Burdekin
10,10,7,6,10,9,Burdekin
9,9,1,9,10,9,Burdekin
10,10,1,6,10,7,Burdekin
8,9,2,5,8,7,Burdekin
10,10,5,5,7,10,Burdekin
10,10,6,6,7,8,Burdekin
10,10,8,8,8,10,Burdekin
10,10,6,10,10,10,Burdekin
10,10,4,9,10,10,Burdekin
10,10,8,8,10,10,Burdekin
10,10,6,8,9,10,Burdekin
9,9,8,9,9,9,Burdekin
10,10,5,9,10,10,Burdekin
4,6,1,3,5,3,Burdekin
10,10,10,9,10,10,Burdekin
9,9,6,9,9,9,Burdekin
10,10,8,8,10,8,Burdekin
10,10,10,10,10,7,Burdekin
9,10,7,7,9,4,Burdekin
10,10,5,5,10,10,Burdekin
10,5,5,10,10,10,Burdekin
6,7,4,3,7,7,Burdekin
10,10,1,5,4,10,Burdekin
10,10,6,10,10,10,Burdekin
10,10,10,10,10,,Burdekin
10,10,10,10,9,10,Burdekin
10,10,10,10,10,,Burdekin
10,8,5,5,10,9,Burdekin
6,4,2,6,7,9,Burdekin
10,10,6,10,10,10,Burdekin
6,7,5,7,8,10,Burdekin
10,10,8,8,9,10,Burdekin
10,10,8,10,10,10,Burdekin
9,7,5,5,6,,Burdekin
8,8,7,6,7,8,Burdekin
10,10,7,9,10,10,Burdekin
10,10,6,7,9,10,Burdekin
5,6,5,6,7,6,Burdekin
10,10,9,8,8,8,Burdekin
10,8,10,10,10,10,Burdekin
5,8,6,8,6,7,Burdekin
6,7,3,3,7,7,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,8,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,3,10,10,,Burdekin
5,5,5,7,7,7,Burdekin
10,10,7,7,10,9,Burdekin
10,8,8,10,9,10,Burdekin
10,10,8,9,10,10,Burdekin
10,10,6,9,5,10,Burdekin
10,10,10,8,8,10,Burdekin
10,10,3,5,7,10,Burdekin
10,10,10,10,10,8,Burdekin
10,10,5,7,7,6,Burdekin
7,10,4,7,7,10,Burdekin
8,8,1,1,8,10,Burdekin
10,10,10,6,10,10,Burdekin
4,5,2,2,5,3,Burdekin
10,10,7,10,10,10,Burdekin
10,10,8,9,10,10,Burdekin
9,8,5,8,8,8,Burdekin
,10,10,,10,8,Burdekin
10,10,9,9,10,10,Burdekin
10,10,9,9,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,1,7,9,10,Burdekin
9,10,8,10,8,10,Burdekin
10,10,8,8,8,2,Burdekin
10,10,,10,10,10,Burdekin
9,10,9,9,10,9,Burdekin
8,8,4,3,8,7,Burdekin
10,10,2,8,10,10,Burdekin
10,10,1,1,8,5,Burdekin
8,8,4,6,6,8,Burdekin
10,10,10,10,10,8,Burdekin
10,10,10,10,10,10,Burdekin
8,9,1,5,9,9,Burdekin
6,8,1,1,6,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,9,10,8,Burdekin
10,10,8,8,10,10,Burdekin
10,8,6,7,10,10,Burdekin
9,7,1,5,10,8,Burdekin
10,10,10,,10,10,Burdekin
9,8,5,5,9,5,Burdekin
10,10,4,7,8,10,Burdekin
5,10,5,8,10,10,Burdekin
10,10,10,10,8,10,Burdekin
9,8,4,4,9,9,Burdekin
7,8,1,1,5,6,Burdekin
10,9,8,9,10,10,Burdekin
8,10,6,4,10,8,Burdekin
10,10,8,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,8,8,10,,Burdekin
10,10,10,10,5,10,Burdekin
10,10,1,10,7,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,8,10,Burdekin
7,5,5,7,5,10,Burdekin
10,10,5,5,10,9,Burdekin
10,10,10,10,10,10,Burdekin
10,5,,,,10,Burdekin
10,10,5,8,10,10,Burdekin
10,10,5,7,10,10,Burdekin
10,10,2,10,10,10,Burdekin
10,10,3,3,10,8,Burdekin
10,8,10,10,8,9,Burdekin
10,10,8,9,8,10,Burdekin
8,8,3,2,7,8,Burdekin
10,10,10,10,10,10,Burdekin
9,9,8,5,3,10,Burdekin
10,10,10,7,10,10,Burdekin
10,10,6,6,10,10,Burdekin
10,10,3,7,9,6,Burdekin
10,10,9,10,10,10,Burdekin
10,10,1,1,10,1,Burdekin
10,10,8,8,10,,Burdekin
10,10,6,9,9,7,Burdekin
7,10,9,9,9,10,Burdekin
10,7,5,4,7,,Burdekin
10,10,7,8,10,10,Burdekin
10,9,5,4,9,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,8,10,Burdekin
10,10,4,7,10,6,Burdekin
10,10,3,3,9,9,Burdekin
10,10,5,10,10,10,Burdekin
10,10,5,10,,10,Burdekin
10,10,6,7,9,9,Burdekin
10,10,4,10,7,8,Burdekin
9,10,,6,10,,Burdekin
8,10,9,9,10,10,Burdekin
8,8,6,7,9,8,Burdekin
10,10,8,7,10,10,Burdekin
8,10,5,4,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,7,5,10,10,Burdekin
10,10,3,1,9,8,Burdekin
10,10,8,10,10,10,Burdekin
10,10,6,6,10,9,Burdekin
10,10,8,10,10,10,Burdekin
8,6,2,7,7,9,Burdekin
10,10,6,10,10,10,Burdekin
6,10,6,6,10,6,Burdekin
10,10,10,10,3,10,Burdekin
10,7,1,1,9,10,Burdekin
10,10,10,10,10,3,Burdekin
10,10,8,10,10,10,Burdekin
8,8,6,3,5,5,Burdekin
7,7,7,7,7,10,Burdekin
5,10,7,6,5,10,Burdekin
8,6,,8,6,7,Burdekin
10,10,10,10,10,10,Burdekin
10,10,7,10,,5,Burdekin
9,8,1,7,8,7,Burdekin
9,9,5,5,10,10,Burdekin
10,10,5,5,10,10,Burdekin
8,8,7,7,6,8,Burdekin
10,10,2,2,10,10,Burdekin
10,10,6,10,10,10,Burdekin
7,10,5,10,10,10,Burdekin
10,10,8,9,7,10,Burdekin
