proud_world_heritage,asset,identity,quality_of_life,aesthetic,love_live_beside,NRM
10,10,7,10,10,10,Burdekin
8,10,4,6,10,10,Burdekin
10,10,9,10,10,10,Burdekin
8,8,6,6,8,8,Burdekin
10,10,5,10,10,8,Burdekin
10,10,1,5,10,6,Burdekin
7,7,5,8,10,8,Burdekin
6,6,6,6,6,6,Burdekin
10,10,2,2,10,10,Burdekin
9,9,9,9,10,10,Burdekin
10,10,10,8,10,2,Burdekin
10,10,5,5,5,5,Burdekin
10,10,10,10,10,10,Burdekin
10,5,5,7,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,9,10,10,Burdekin
10,10,9,7,10,10,Burdekin
10,10,5,4,10,8,Burdekin
10,10,8,8,10,10,Burdekin
10,10,5,2,9,10,Burdekin
10,10,8,10,9,10,Burdekin
10,9,8,9,10,10,Burnett Mary
8,10,1,1,7,1,Burnett Mary
10,10,10,10,10,6,Burnett Mary
10,10,7,7,10,10,Burnett Mary
10,,9,7,7,8,Burnett Mary
10,10,9,9,9,10,Burnett Mary
10,10,10,10,10,10,Burnett Mary
7,6,5,6,7,10,Burnett Mary
10,10,8,9,9,10,Burnett Mary
9,9,9,9,9,9,Burnett Mary
10,10,8,8,10,10,Burnett Mary
10,10,10,10,10,10,Burnett Mary
10,10,6,10,10,8,Burnett Mary
10,10,5,10,10,10,Burnett Mary
10,10,10,10,10,10,Burnett Mary
10,10,10,10,10,10,Burnett Mary
10,10,8,10,10,10,Burnett Mary
10,10,5,9,10,8,Burnett Mary
8,10,1,5,10,5,Burnett Mary
10,10,10,10,10,10,Burnett Mary
10,9,7,7,10,9,Burnett Mary
10,10,6,6,10,6,Burnett Mary
10,10,6,6,10,3,Burnett Mary
10,9,8,10,9,10,Burnett Mary
10,10,6,6,10,1,Burnett Mary
10,10,8,8,9,9,Burnett Mary
10,10,6,4,10,4,Burnett Mary
10,10,4,7,10,10,Burnett Mary
1,5,1,1,5,5,Burnett Mary
10,10,8,4,8,9,Burnett Mary
10,10,1,3,10,1,Burnett Mary
10,10,9,9,10,9,Burnett Mary
10,10,8,8,10,10,Burnett Mary
10,10,,7,10,8,Burnett Mary
10,9,4,4,9,9,Burnett Mary
8,8,6,,9,5,Burnett Mary
6,6,,3,9,8,Burnett Mary
10,10,8,8,9,10,Burnett Mary
10,10,,8,10,2,Burnett Mary
10,10,7,9,10,9,Burnett Mary
,,,,10,10,Burnett Mary
10,10,6,6,10,10,Burnett Mary
10,10,1,1,10,10,Burnett Mary
10,10,5,8,8,10,Burnett Mary
10,10,10,10,10,10,Cape York
10,10,3,3,10,6,Fitzroy
9,9,8,8,9,5,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,,Fitzroy
9,9,7,8,8,8,Fitzroy
10,10,9,6,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
8,8,,8,8,8,Fitzroy
,5,7,9,10,10,Fitzroy
8,8,5,5,8,8,Fitzroy
10,10,6,5,8,1,Fitzroy
1,5,6,10,6,,Fitzroy
10,10,5,7,10,8,Fitzroy
10,10,8,8,8,8,Fitzroy
10,10,6,6,8,10,Fitzroy
6,6,3,5,9,6,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,3,10,10,7,Fitzroy
5,4,4,4,4,5,Fitzroy
6,10,4,3,7,8,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,5,10,5,10,Fitzroy
10,10,10,10,,10,Fitzroy
10,10,8,9,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,,Fitzroy
10,10,10,8,10,10,Fitzroy
10,10,7,8,9,10,Fitzroy
10,8,6,9,10,9,Fitzroy
10,7,3,3,7,10,Fitzroy
10,10,6,8,10,8,Fitzroy
5,9,4,6,9,10,Fitzroy
10,10,8,8,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
9,9,6,7,7,7,Fitzroy
10,10,9,9,8,9,Fitzroy
9,10,7,10,10,9,Fitzroy
10,10,7,9,10,9,Fitzroy
8,6,1,3,8,10,Fitzroy
10,6,5,10,8,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,7,9,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,8,6,9,9,9,Fitzroy
10,10,7,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
8,8,5,8,8,7,Fitzroy
10,10,2,9,10,9,Fitzroy
10,9,8,9,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
8,7,5,5,10,10,Fitzroy
10,10,6,8,10,9,Fitzroy
10,10,8,8,10,10,Fitzroy
10,10,3,3,10,7,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,6,6,6,6,10,Fitzroy
9,9,7,9,10,10,Fitzroy
9,9,5,7,7,8,Fitzroy
10,10,10,10,8,10,Fitzroy
10,10,8,9,10,9,Fitzroy
10,10,5,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
9,10,9,10,9,10,Fitzroy
9,7,10,9,8,9,Fitzroy
7,8,2,6,7,9,Fitzroy
9,5,9,9,8,10,Fitzroy
10,10,8,10,10,10,Fitzroy
10,8,6,9,9,9,Fitzroy
10,10,8,10,10,10,Fitzroy
10,10,8,10,10,10,Fitzroy
6,8,5,9,9,10,Fitzroy
10,10,5,10,10,10,Fitzroy
10,10,6,10,5,10,Fitzroy
9,9,7,8,8,7,Fitzroy
9,9,6,9,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,9,5,9,9,5,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,7,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,6,10,10,10,Fitzroy
10,10,7,9,9,10,Fitzroy
10,10,8,9,9,10,Fitzroy
9,9,8,9,8,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,8,10,10,10,Fitzroy
10,10,8,10,10,10,Fitzroy
10,10,8,9,9,10,Fitzroy
10,10,9,10,10,10,Fitzroy
10,10,8,10,10,10,Fitzroy
10,10,8,6,10,10,Fitzroy
10,10,8,10,10,10,Fitzroy
9,7,3,8,9,10,Fitzroy
9,10,8,8,8,10,Fitzroy
10,10,8,10,10,10,Fitzroy
10,10,9,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
7,7,5,6,6,9,Fitzroy
6,8,6,6,7,10,Fitzroy
9,9,8,9,8,10,Fitzroy
10,10,5,8,8,10,Fitzroy
8,10,6,7,7,10,Fitzroy
10,10,8,10,9,10,Fitzroy
10,10,10,10,10,10,Fitzroy
8,10,5,7,7,10,Fitzroy
8,10,8,8,8,10,Fitzroy
10,10,6,10,10,10,Fitzroy
10,4,9,10,10,10,Fitzroy
10,4,2,3,9,10,Fitzroy
10,8,6,8,10,9,Fitzroy
10,10,6,10,10,10,Fitzroy
10,10,5,10,10,10,Fitzroy
10,10,5,5,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,9,10,10,10,Fitzroy
7,10,5,6,5,10,Fitzroy
10,10,9,9,10,10,Fitzroy
6,8,6,6,9,9,Fitzroy
10,10,7,2,10,10,Fitzroy
10,10,6,9,10,10,Fitzroy
10,9,8,7,10,7,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,6,6,10,5,Fitzroy
10,8,10,6,10,9,Fitzroy
10,10,10,10,8,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
9,9,8,6,9,7,Fitzroy
10,6,9,9,9,10,Fitzroy
10,9,5,8,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,8,6,10,10,Fitzroy
8,8,3,6,6,5,Fitzroy
5,7,1,6,10,10,Fitzroy
9,10,8,8,10,10,Fitzroy
10,7,2,9,10,9,Fitzroy
5,8,6,5,7,9,Fitzroy
8,10,8,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
5,7,5,9,8,10,Fitzroy
6,6,3,5,6,10,Fitzroy
7,7,6,8,8,9,Fitzroy
8,9,5,9,9,10,Fitzroy
8,8,5,6,8,10,Fitzroy
5,10,10,10,10,10,Fitzroy
10,10,5,10,10,10,Fitzroy
5,10,9,8,8,10,Fitzroy
9,4,4,9,10,10,Fitzroy
10,6,5,7,10,10,Fitzroy
10,10,8,10,10,10,Fitzroy
10,10,5,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
9,8,8,5,10,9,Fitzroy
7,8,5,6,7,10,Fitzroy
9,10,7,8,8,10,Fitzroy
8,7,4,6,7,10,Fitzroy
8,10,7,9,9,10,Fitzroy
10,7,6,9,10,10,Fitzroy
10,10,4,9,10,10,Fitzroy
10,6,7,10,10,10,Fitzroy
5,8,5,5,7,8,Fitzroy
10,10,6,8,10,10,Fitzroy
9,10,8,10,10,10,Fitzroy
8,8,5,8,10,10,Fitzroy
10,10,7,10,8,10,Fitzroy
9,9,9,9,9,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,1,3,10,10,Fitzroy
9,9,6,6,9,7,Fitzroy
1,2,2,1,1,9,Fitzroy
6,6,6,6,5,10,Fitzroy
10,10,10,10,10,10,Fitzroy
6,6,3,3,5,5,Fitzroy
9,8,6,6,9,8,Fitzroy
10,8,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,8,10,10,10,Fitzroy
8,8,6,8,7,8,Fitzroy
,,,,,10,Fitzroy
9,9,9,9,9,9,Fitzroy
6,5,5,6,6,7,Fitzroy
10,10,9,,8,10,Fitzroy
8,8,6,8,9,5,Fitzroy
6,8,7,7,8,6,Fitzroy
10,10,5,2,10,7,Fitzroy
10,10,10,6,10,9,Fitzroy
8,9,3,2,9,8,Fitzroy
10,10,1,1,10,1,Fitzroy
10,10,10,10,10,10,Fitzroy
9,9,5,10,10,10,Fitzroy
7,7,3,3,7,5,Fitzroy
8,8,1,1,8,5,Fitzroy
10,,5,5,10,5,Fitzroy
10,6,6,10,10,10,Fitzroy
6,6,6,6,6,,Fitzroy
6,7,3,3,9,7,Fitzroy
8,6,1,1,10,7,Fitzroy
9,9,6,8,8,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,6,6,10,9,Fitzroy
10,10,5,6,10,9,Fitzroy
10,10,8,10,8,10,Fitzroy
8,8,4,4,8,10,Fitzroy
8,8,6,6,9,6,Fitzroy
10,10,10,10,10,5,Fitzroy
10,10,10,10,8,9,Fitzroy
10,10,8,8,10,10,Fitzroy
10,10,8,7,10,10,Fitzroy
9,10,6,6,10,5,Fitzroy
7,9,5,,6,5,Fitzroy
10,10,6,10,10,10,Fitzroy
10,10,1,8,10,10,Fitzroy
10,6,9,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
9,9,6,6,9,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
7,10,1,1,10,10,Fitzroy
10,9,5,8,9,10,Fitzroy
10,10,8,8,10,,Fitzroy
2,8,2,1,5,9,Fitzroy
10,10,8,9,10,10,Fitzroy
10,10,10,10,10,10,Fitzroy
10,10,7,9,,10,Fitzroy
8,,6,6,5,8,Fitzroy
9,9,9,9,9,,Fitzroy
9,9,9,9,9,9,Fitzroy
10,10,10,9,10,10,Fitzroy
8,8,3,2,9,6,Fitzroy
8,8,5,6,7,8,Fitzroy
10,10,10,10,10,10,Fitzroy
6,6,7,8,9,10,Fitzroy
10,7,1,8,8,10,Fitzroy
1,2,5,6,5,8,Fitzroy
9,9,9,9,9,8,Fitzroy
10,10,10,10,10,10,Mackay Whitsunday
10,10,7,10,10,10,Mackay Whitsunday
10,10,5,5,10,10,Mackay Whitsunday
10,10,4,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,9,Mackay Whitsunday
10,10,6,9,10,10,Mackay Whitsunday
10,10,7,10,8,10,Mackay Whitsunday
8,10,10,10,6,10,Mackay Whitsunday
10,9,7,9,10,9,Mackay Whitsunday
10,10,7,6,10,10,Mackay Whitsunday
8,8,7,8,,10,Mackay Whitsunday
10,10,8,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
9,10,9,8,9,9,Mackay Whitsunday
9,10,8,9,10,9,Mackay Whitsunday
10,10,6,10,10,9,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
9,10,6,9,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,2,5,5,10,10,Mackay Whitsunday
10,10,10,8,10,,Mackay Whitsunday
10,10,10,10,10,,Mackay Whitsunday
10,10,5,6,10,10,Mackay Whitsunday
10,10,4,6,5,9,Mackay Whitsunday
10,10,5,5,10,10,Mackay Whitsunday
10,10,8,10,10,10,Mackay Whitsunday
8,10,5,5,9,2,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,8,6,8,10,Mackay Whitsunday
10,10,8,8,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,,10,10,Mackay Whitsunday
10,10,4,1,10,10,Mackay Whitsunday
10,8,10,10,6,10,Mackay Whitsunday
10,10,10,5,10,10,Mackay Whitsunday
10,10,7,7,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
,,,,,10,Mackay Whitsunday
10,10,6,10,10,10,Mackay Whitsunday
10,10,7,7,9,10,Mackay Whitsunday
10,10,1,6,10,10,Mackay Whitsunday
8,10,8,9,5,10,Mackay Whitsunday
5,9,7,10,7,8,Mackay Whitsunday
10,10,5,10,10,10,Mackay Whitsunday
10,9,6,10,9,7,Mackay Whitsunday
8,8,9,8,4,10,Mackay Whitsunday
9,9,10,9,9,9,Mackay Whitsunday
10,10,7,8,10,6,Mackay Whitsunday
10,10,7,7,10,10,Mackay Whitsunday
10,10,7,8,8,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,2,10,10,10,Mackay Whitsunday
10,10,10,10,10,8,Mackay Whitsunday
10,10,7,8,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,7,9,10,10,Mackay Whitsunday
7,9,1,7,10,10,Mackay Whitsunday
10,10,9,8,10,8,Mackay Whitsunday
10,10,10,7,10,10,Mackay Whitsunday
10,10,6,10,10,10,Mackay Whitsunday
6,6,4,4,8,6,Mackay Whitsunday
10,10,7,7,9,8,Mackay Whitsunday
9,9,7,8,8,9,Mackay Whitsunday
10,10,10,8,8,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,9,9,10,9,Mackay Whitsunday
9,9,7,9,9,8,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,5,7,10,9,Mackay Whitsunday
10,10,6,8,10,6,Mackay Whitsunday
10,10,8,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
6,8,5,6,7,8,Mackay Whitsunday
5,9,9,9,6,10,Mackay Whitsunday
10,9,5,8,9,8,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,7,6,9,8,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
8,8,4,6,9,9,Mackay Whitsunday
8,9,1,4,7,8,Mackay Whitsunday
10,10,2,9,9,,Mackay Whitsunday
10,10,7,8,10,10,Mackay Whitsunday
7,5,7,6,7,6,Mackay Whitsunday
7,10,1,10,10,10,Mackay Whitsunday
10,10,9,10,9,10,Mackay Whitsunday
10,10,1,6,5,10,Mackay Whitsunday
8,8,8,8,8,5,Mackay Whitsunday
10,10,5,7,10,10,Mackay Whitsunday
9,9,9,9,10,10,Mackay Whitsunday
9,9,6,6,8,8,Mackay Whitsunday
10,10,8,6,6,10,Mackay Whitsunday
8,8,2,9,9,4,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,8,9,8,10,Mackay Whitsunday
10,10,6,7,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
8,5,5,5,5,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,5,9,7,,Mackay Whitsunday
10,8,4,8,10,8,Mackay Whitsunday
10,10,4,7,10,9,Mackay Whitsunday
10,10,5,10,7,7,Mackay Whitsunday
10,10,5,5,10,10,Mackay Whitsunday
10,10,4,7,10,10,Mackay Whitsunday
10,10,9,7,9,9,Mackay Whitsunday
10,10,10,8,9,10,Mackay Whitsunday
10,10,7,8,8,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,9,10,9,10,10,Mackay Whitsunday
10,10,5,5,10,10,Mackay Whitsunday
10,5,10,10,10,8,Mackay Whitsunday
10,10,8,10,10,10,Mackay Whitsunday
10,10,10,10,8,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,5,10,Mackay Whitsunday
10,10,9,9,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
,,,,,10,Mackay Whitsunday
,,,,,10,Mackay Whitsunday
8,5,4,6,8,8,Mackay Whitsunday
10,10,8,10,10,10,Mackay Whitsunday
10,10,6,6,8,10,Mackay Whitsunday
9,10,6,7,6,7,Mackay Whitsunday
10,10,10,10,8,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
8,9,5,6,9,8,Mackay Whitsunday
10,10,6,8,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,8,10,10,9,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,7,10,10,10,Mackay Whitsunday
8,10,5,,6,8,Mackay Whitsunday
10,1,1,10,10,10,Mackay Whitsunday
8,8,3,8,10,9,Mackay Whitsunday
10,10,3,9,9,9,Mackay Whitsunday
6,9,6,6,10,7,Mackay Whitsunday
10,10,8,10,10,10,Mackay Whitsunday
8,8,6,6,8,8,Mackay Whitsunday
9,9,6,7,9,9,Mackay Whitsunday
8,8,7,8,9,9,Mackay Whitsunday
10,10,10,9,9,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,5,8,10,10,Mackay Whitsunday
10,10,7,7,10,9,Mackay Whitsunday
10,10,8,10,10,10,Mackay Whitsunday
10,10,10,10,8,,Mackay Whitsunday
10,10,10,8,8,10,Mackay Whitsunday
10,9,9,8,10,10,Mackay Whitsunday
7,8,7,3,9,9,Mackay Whitsunday
10,10,8,8,10,10,Mackay Whitsunday
10,10,5,6,9,,Mackay Whitsunday
10,5,10,10,10,10,Mackay Whitsunday
7,8,5,7,9,5,Mackay Whitsunday
8,9,5,6,7,,Mackay Whitsunday
6,4,1,10,7,10,Mackay Whitsunday
10,10,1,1,10,8,Mackay Whitsunday
10,10,8,8,10,9,Mackay Whitsunday
10,10,8,8,10,10,Mackay Whitsunday
10,10,6,7,9,8,Mackay Whitsunday
10,10,7,8,9,9,Mackay Whitsunday
10,10,6,10,10,10,Mackay Whitsunday
10,7,7,8,8,8,Mackay Whitsunday
10,10,8,8,10,10,Mackay Whitsunday
9,9,7,9,9,9,Mackay Whitsunday
8,8,8,9,9,8,Mackay Whitsunday
10,10,1,5,10,10,Mackay Whitsunday
10,10,6,6,6,6,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
5,4,5,,8,8,Mackay Whitsunday
9,10,10,6,8,10,Mackay Whitsunday
,,,,,,Mackay Whitsunday
5,1,2,4,5,4,Mackay Whitsunday
10,10,6,5,9,10,Mackay Whitsunday
10,10,1,5,9,6,Mackay Whitsunday
10,10,8,10,10,10,Mackay Whitsunday
10,10,8,10,9,10,Mackay Whitsunday
10,9,6,9,9,9,Mackay Whitsunday
10,10,6,6,8,10,Mackay Whitsunday
8,8,3,3,9,9,Mackay Whitsunday
9,8,6,9,10,6,Mackay Whitsunday
10,10,,10,10,10,Mackay Whitsunday
10,10,10,10,,10,Mackay Whitsunday
10,10,7,9,10,8,Mackay Whitsunday
10,10,1,6,5,10,Mackay Whitsunday
10,10,3,6,9,8,Mackay Whitsunday
10,10,4,4,10,10,Mackay Whitsunday
10,10,5,8,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
5,5,1,10,10,4,Mackay Whitsunday
10,10,6,6,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,7,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
8,8,2,6,6,7,Mackay Whitsunday
9,9,1,9,10,10,Mackay Whitsunday
10,10,8,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,,10,10,,Mackay Whitsunday
10,10,8,8,10,10,Mackay Whitsunday
10,10,7,9,9,10,Mackay Whitsunday
10,10,6,8,9,,Mackay Whitsunday
10,10,7,8,10,,Mackay Whitsunday
10,10,4,7,10,,Mackay Whitsunday
8,8,2,2,5,7,Mackay Whitsunday
10,9,9,9,9,8,Mackay Whitsunday
8,9,8,9,9,7,Mackay Whitsunday
8,8,5,3,8,8,Mackay Whitsunday
10,10,7,10,10,10,Mackay Whitsunday
10,10,10,5,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,8,6,5,7,6,Mackay Whitsunday
10,10,9,8,8,,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,4,4,10,8,Mackay Whitsunday
10,10,8,10,10,10,Mackay Whitsunday
8,8,3,5,7,7,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,6,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
10,10,10,10,10,8,Mackay Whitsunday
8,8,10,8,3,9,Mackay Whitsunday
10,10,10,10,6,10,Mackay Whitsunday
,,,,,9,Mackay Whitsunday
9,9,6,6,9,9,Mackay Whitsunday
,10,7,10,,10,Mackay Whitsunday
9,10,2,3,7,10,Mackay Whitsunday
10,10,7,7,7,8,Mackay Whitsunday
6,6,5,3,7,5,Mackay Whitsunday
9,8,10,7,10,9,Mackay Whitsunday
10,10,6,9,7,10,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
7,8,7,3,7,6,Mackay Whitsunday
10,10,10,10,10,10,Mackay Whitsunday
